,filename,fold,target,category,esc10,src_file,take
0,1-100032-A-0.wav,1.0,1,dog,True,100032.0,A
1,1-100038-A-14.wav,1.0,1,chirping_birds,False,100038.0,A
2,1-101296-A-19.wav,1.0,1,thunderstorm,False,101296.0,A
3,1-101296-B-19.wav,1.0,1,thunderstorm,False,101296.0,B
4,1-101336-A-30.wav,1.0,1,door_wood_knock,False,101336.0,A
5,1-103298-A-9.wav,1.0,1,crow,False,103298.0,A
6,1-103995-A-30.wav,1.0,1,door_wood_knock,False,103995.0,A
7,1-103999-A-30.wav,1.0,1,door_wood_knock,False,103999.0,A
8,1-104089-A-22.wav,1.0,1,clapping,False,104089.0,A
9,1-104089-B-22.wav,1.0,1,clapping,False,104089.0,B
10,1-105224-A-22.wav,1.0,1,clapping,False,105224.0,A
11,1-110389-A-0.wav,1.0,1,dog,True,110389.0,A
12,1-110537-A-22.wav,1.0,1,clapping,False,110537.0,A
13,1-115521-A-19.wav,1.0,1,thunderstorm,False,115521.0,A
14,1-115545-A-48.wav,1.0,1,fireworks,False,115545.0,A
15,1-115545-B-48.wav,1.0,1,fireworks,False,115545.0,B
16,1-115545-C-48.wav,1.0,1,fireworks,False,115545.0,C
17,1-115546-A-48.wav,1.0,1,fireworks,False,115546.0,A
18,1-115920-A-22.wav,1.0,1,clapping,False,115920.0,A
19,1-115920-B-22.wav,1.0,1,clapping,False,115920.0,B
20,1-115921-A-22.wav,1.0,1,clapping,False,115921.0,A
21,1-116765-A-41.wav,1.0,1,chainsaw,True,116765.0,A
22,1-11687-A-47.wav,1.0,1,airplane,False,11687.0,A
23,1-119125-A-45.wav,1.0,1,train,False,119125.0,A
24,1-13571-A-46.wav,1.0,1,church_bells,False,13571.0,A
25,1-13572-A-46.wav,1.0,1,church_bells,False,13572.0,A
26,1-13613-A-37.wav,1.0,1,clock_alarm,False,13613.0,A
27,1-137296-A-16.wav,1.0,1,wind,False,137296.0,A
28,1-14262-A-37.wav,1.0,1,clock_alarm,False,14262.0,A
29,1-155858-A-25.wav,1.0,1,footsteps,False,155858.0,A
30,1-155858-B-25.wav,1.0,1,footsteps,False,155858.0,B
31,1-155858-C-25.wav,1.0,1,footsteps,False,155858.0,C
32,1-155858-D-25.wav,1.0,1,footsteps,False,155858.0,D
33,1-155858-E-25.wav,1.0,1,footsteps,False,155858.0,E
34,1-155858-F-25.wav,1.0,1,footsteps,False,155858.0,F
35,1-160563-A-48.wav,1.0,1,fireworks,False,160563.0,A
36,1-160563-B-48.wav,1.0,1,fireworks,False,160563.0,B
37,1-17124-A-43.wav,1.0,1,car_horn,False,17124.0,A
